iter	Passed	Remaining
0	157	157836
1	159	79609
2	160	53492
3	162	40401
4	163	32579
5	165	27356
6	166	23603
7	168	20836
8	169	18681
9	171	16933
10	172	15497
11	174	14349
12	175	13330
13	176	12447
14	178	11689
15	179	11038
16	180	10463
17	182	9949
18	183	9486
19	185	9066
20	186	8696
21	188	8364
22	189	8046
23	190	7758
24	192	7500
25	193	7262
26	195	7043
27	196	6831
28	198	6634
29	199	6449
30	200	6282
31	202	6124
32	204	5980
33	205	5845
34	207	5717
35	209	5607
36	211	5495
37	212	5389
38	214	5283
39	216	5190
40	217	5091
41	219	4997
42	220	4912
43	222	4825
44	223	4742
45	224	4665
46	226	4591
47	228	4522
48	229	4460
49	231	4398
50	232	4333
51	234	4270
52	235	4209
53	236	4147
54	237	4089
55	239	4038
56	241	3989
57	242	3938
58	245	3917
59	247	3870
60	248	3819
61	249	3773
62	250	3727
63	251	3684
64	253	3642
65	254	3600
66	255	3560
67	257	3525
68	258	3492
69	260	3464
70	261	3427
71	263	3395
72	264	3361
73	265	3327
74	267	3295
75	268	3265
76	269	3235
77	271	3205
78	272	3178
79	274	3153
80	275	3125
81	276	3097
82	277	3063
83	278	3037
84	279	3011
85	280	2985
86	282	2959
87	283	2935
88	284	2912
89	286	2892
90	287	2870
91	288	2850
92	290	2831
93	291	2809
94	292	2787
95	293	2766
96	294	2745
97	296	2727
98	297	2707
99	298	2690
100	300	2673
101	301	2655
102	303	2641
103	304	2625
104	306	2609
105	307	2592
106	308	2576
107	310	2561
108	311	2546
109	313	2533
110	314	2518
111	315	2501
112	317	2488
113	318	2477
114	319	2462
115	321	2448
116	322	2431
117	323	2418
118	324	2406
119	326	2395
120	328	2384
121	329	2369
122	330	2359
123	333	2354
124	334	2343
125	335	2330
126	337	2317
127	338	2304
128	339	2292
129	340	2280
130	342	2268
131	343	2256
132	344	2244
133	345	2233
134	347	2226
135	349	2217
136	350	2208
137	351	2197
138	353	2186
139	354	2177
140	355	2166
141	356	2154
142	357	2144
143	359	2134
144	360	2124
145	361	2117
146	363	2110
147	365	2101
148	366	2092
149	367	2084
150	369	2074
151	370	2067
152	371	2058
153	373	2050
154	374	2042
155	376	2037
156	378	2029
157	379	2021
158	380	2012
159	382	2005
160	383	1996
161	384	1988
162	385	1980
163	387	1974
164	389	1968
165	390	1962
166	392	1955
167	393	1948
168	394	1941
169	396	1937
170	398	1930
171	399	1923
172	400	1915
173	401	1907
174	403	1901
175	404	1893
176	406	1889
177	407	1882
178	408	1875
179	410	1868
180	411	1862
181	412	1855
182	414	1850
183	415	1844
184	417	1837
185	418	1831
186	420	1826
187	421	1821
188	423	1817
189	424	1811
190	426	1805
191	427	1799
192	428	1793
193	430	1787
194	431	1781
195	433	1776
196	434	1772
197	436	1768
198	438	1764
199	439	1758
200	441	1753
201	442	1748
202	444	1744
203	445	1739
204	447	1734
205	450	1734
206	451	1730
207	453	1724
208	454	1719
209	455	1714
210	457	1709
211	458	1703
212	459	1698
213	461	1693
214	462	1689
215	466	1693
216	468	1689
217	469	1683
218	470	1678
219	472	1674
220	473	1669
221	475	1666
222	477	1664
223	480	1664
224	481	1660
225	483	1655
226	484	1650
227	485	1645
228	487	1641
229	488	1636
230	490	1632
231	491	1628
232	495	1631
233	497	1627
234	498	1623
235	499	1618
236	501	1614
237	503	1611
238	504	1607
239	506	1605
240	510	1606
241	512	1605
242	513	1601
243	515	1597
244	518	1597
245	519	1593
246	521	1589
247	523	1586
248	525	1584
249	526	1580
250	528	1576
251	530	1573
252	531	1570
253	532	1565
254	534	1561
255	535	1557
256	537	1554
257	540	1554
258	541	1550
259	543	1547
260	545	1543
261	546	1539
262	547	1535
263	549	1531
264	550	1527
265	552	1523
266	554	1520
267	555	1518
268	557	1514
269	558	1511
270	560	1507
271	561	1504
272	563	1500
273	564	1496
274	565	1491
275	567	1488
276	570	1489
277	572	1485
278	573	1483
279	575	1480
280	577	1476
281	578	1473
282	579	1469
283	581	1465
284	583	1462
285	585	1461
286	586	1457
287	587	1453
288	589	1451
289	591	1447
290	592	1443
291	593	1439
292	595	1436
293	596	1432
294	599	1432
295	601	1429
296	602	1426
297	604	1423
298	605	1420
299	607	1416
300	608	1412
301	609	1408
302	611	1406
303	613	1405
304	615	1401
305	616	1398
306	618	1395
307	619	1392
308	621	1389
309	622	1385
310	624	1382
311	625	1379
312	628	1378
313	629	1375
314	630	1372
315	632	1368
316	633	1365
317	635	1361
318	636	1358
319	637	1355
320	639	1351
321	641	1350
322	643	1349
323	645	1346
324	646	1342
325	647	1339
326	649	1336
327	650	1332
328	651	1329
329	653	1326
330	654	1323
331	657	1323
332	659	1320
333	661	1318
334	662	1315
335	663	1312
336	665	1308
337	666	1305
338	667	1301
339	668	1297
340	670	1295
341	672	1294
342	673	1290
343	675	1287
